film	Rotten Tomatoes
Toy Story	100
Toy Story 2	100
Finding Nemo	99
Up	98
Toy Story 3	98
Inside Out	98
The Incredibles	97
Coco	97
Toy Story 4	97
Monsters, Inc.	96
